cluster,age_group,pct
0,18-25,21.84873949579832
0,26-35,36.97478991596638
0,36-45,21.84873949579832
0,46-60,13.445378151260504
0,60+,5.882352941176471
1,18-25,18.64406779661017
1,26-35,37.28813559322034
1,36-45,22.033898305084747
1,46-60,16.10169491525424
1,60+,5.932203389830509
2,18-25,22.131147540983605
2,26-35,39.34426229508197
2,36-45,22.131147540983605
2,46-60,12.295081967213115
2,60+,4.098360655737705
3,18-25,23.423423423423422
3,26-35,36.03603603603604
3,36-45,20.72072072072072
3,46-60,15.315315315315315
3,60+,4.504504504504505
4,18-25,20.0
4,26-35,46.92307692307692
4,36-45,13.846153846153847
4,46-60,14.615384615384615
4,60+,4.615384615384615
