cluster,income_range,pct
0,"10,000–25,000",22.689075630252102
0,"25,000–50,000",27.73109243697479
0,"50,000–100,000",16.80672268907563
0,"<AED 10,000",27.73109243697479
0,">100,000",5.042016806722689
1,"10,000–25,000",31.35593220338983
1,"25,000–50,000",27.966101694915253
1,"50,000–100,000",7.627118644067797
1,"<AED 10,000",21.1864406779661
1,">100,000",11.864406779661017
2,"10,000–25,000",29.508196721311474
2,"25,000–50,000",25.40983606557377
2,"50,000–100,000",13.114754098360656
2,"<AED 10,000",23.770491803278688
2,">100,000",8.19672131147541
3,"10,000–25,000",25.225225225225227
3,"25,000–50,000",20.72072072072072
3,"50,000–100,000",17.117117117117118
3,"<AED 10,000",27.92792792792793
3,">100,000",9.00900900900901
4,"10,000–25,000",37.69230769230769
4,"25,000–50,000",23.846153846153847
4,"50,000–100,000",13.076923076923077
4,"<AED 10,000",21.53846153846154
4,">100,000",3.8461538461538463
